,id,fish id
23,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124654.jpg,655
24,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093940.jpg,
25,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124720.jpg,657
26,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095316.jpg,37
27,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095458.jpg,43
28,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103823.jpg,193
29,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095114.jpg,32
30,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103610.jpg,188
31,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084337.jpg,94
32,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093950.jpg,
33,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095514.jpg,44
34,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094636.jpg,19
35,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084524.jpg,97
36,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080030.jpg,35
37,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084518.jpg,97
38,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095717.jpg,50
39,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085404.jpg,420
40,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093945.jpg,
41,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084646.jpg,
42,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081919.jpg,
43,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081514.jpg,53
44,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103615.jpg,188
45,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094033.jpg,2
46,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085228.jpg,
47,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080422.jpg,
48,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094153.jpg,5
49,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094812.jpg,23
50,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085348.jpg,11
51,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094345.jpg,11
52,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094351.jpg,11
53,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603075910.jpg,33
54,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080225.jpg,37
55,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080219.jpg,37
56,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094807.jpg,23
57,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094620.jpg,18
58,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085201.jpg,4
59,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095338.jpg,38
60,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094257.jpg,8
61,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095607.jpg,47
62,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080134.jpg,36
63,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081941.jpg,59
64,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094121.jpg,
65,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094647.jpg,20
66,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094444.jpg,13
67,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080257.jpg,38
68,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095202.jpg,34
69,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094652.jpg,20
70,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093908.jpg,
71,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603082508.jpg,67
72,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093934.jpg,
73,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095404.jpg,40
74,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084838.jpg,4105
75,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094054.jpg,3
76,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084409.jpg,95
77,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094532.jpg,15
78,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080123.jpg,36
79,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084635.jpg,40
80,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081822.jpg,57
81,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085305.jpg,417
82,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085113.jpg,1112
83,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103713.jpg,191
84,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095759.jpg,52
85,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094335.jpg,10
86,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103511.jpg,184
87,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103505.jpg,184
88,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094916.jpg,26
89,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094719.jpg,21
90,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081957.jpg,59
91,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095349.jpg,39
92,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094527.jpg,15
93,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095639.jpg,49
94,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094241.jpg,
95,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095629.jpg,48
96,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094537.jpg,15
97,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103449.jpg,182
98,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081833.jpg,57
99,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084750.jpg,103
100,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124627.jpg,653
101,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103703.jpg,190
102,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084547.jpg,98
103,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084553.jpg,98
104,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094318.jpg,9
105,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124632.jpg,653
106,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080251.jpg,38
107,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094126.jpg,
108,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094132.jpg,
109,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103500.jpg,183
110,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084619.jpg,99
111,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081946.jpg,59
112,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094708.jpg,
113,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095602.jpg,47
114,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094911.jpg,26
115,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093924.jpg,
116,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103516.jpg,185
117,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095212.jpg,35
118,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095004.jpg,28
119,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095010.jpg,28
120,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103932.jpg,
121,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094455.jpg,13
122,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103729.jpg,192
123,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094657.jpg,20
124,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094938.jpg,27
125,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081951.jpg,59
126,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080118.jpg,736
127,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095140.jpg,33
128,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080840.jpg,46
129,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084415.jpg,95
130,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080129.jpg,36
131,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094100.jpg,3
132,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103532.jpg,186
133,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081828.jpg,57
134,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124600.jpg,651
135,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085327.jpg,418
136,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085441.jpg,422
137,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094855.jpg,25
138,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103724.jpg,492
139,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103719.jpg,191
140,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103527.jpg,185
141,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095223.jpg,35
142,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325093929.jpg,
143,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080302.jpg,38
144,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095431.jpg,
145,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094713.jpg,21
146,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094511.jpg,14
147,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103647.jpg,189
148,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084358.jpg,95
149,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084833.jpg,405
150,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084614.jpg,99
151,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603082503.jpg,67
152,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085244.jpg,4116
153,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081817.jpg,57
154,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081630.jpg,55
155,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081624.jpg,55
156,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094329.jpg,10
157,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085457.jpg,423
158,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124616.jpg,652
159,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095546.jpg,46
160,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103444.jpg,182
161,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095354.jpg,39
162,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095156.jpg,34
163,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095618.jpg,48
164,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095634.jpg,49
165,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094516.jpg,14
166,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085057.jpg,111
167,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095436.jpg,42
168,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081812.jpg,57
169,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095218.jpg,35
170,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081635.jpg,55
171,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124606.jpg,651
172,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095754.jpg,52
173,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095026.jpg,29
174,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103938.jpg,194
175,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095557.jpg,47
176,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103521.jpg,185
177,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094932.jpg,27
178,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103455.jpg,183
179,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103657.jpg,190
180,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103641.jpg,189
181,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080845.jpg,46
182,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095623.jpg,48
183,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084404.jpg,95
184,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085524.jpg,124
185,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081839.jpg,57
186,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095541.jpg,46
187,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103537.jpg,186
188,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094105.jpg,3
189,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124611.jpg,652
190,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094449.jpg,13
191,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095031.jpg,29
192,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094313.jpg,
193,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603084558.jpg,98
194,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124638.jpg,654
195,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080307.jpg,38
196,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095420.jpg,41
197,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095805.jpg,52
198,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080139.jpg,36
199,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094215.jpg,
200,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103828.jpg,193
201,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081903.jpg,58
202,FishDiseaseZHAW/EyeMalformations/EyeHealthy/.ipynb_checkpoints,
203,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095255.jpg,36
204,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603075921.jpg,33
205,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080214.jpg,37
206,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094407.jpg,12
207,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103948.jpg,194
208,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103746.jpg,193
209,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094412.jpg,12
210,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094604.jpg,17
211,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095108.jpg,31
212,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103817.jpg,193
213,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081914.jpg,
214,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095322.jpg,37
215,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094028.jpg,2
216,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095530.jpg,45
217,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094148.jpg,5
218,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124648.jpg,655
219,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103751.jpg,193
220,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095733.jpg,51
221,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085420.jpg,421
222,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081646.jpg,55
223,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095519.jpg,44
224,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080438.jpg,
225,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124715.jpg,657
226,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103433.jpg,181
227,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103802.jpg,193
228,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080835.jpg,46
229,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095135.jpg,33
230,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095119.jpg,32
231,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081520.jpg,53
232,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103812.jpg,193
233,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085222.jpg,115
234,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603080428.jpg,
235,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103543.jpg,186
236,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095535.jpg,45
237,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095509.jpg,44
238,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085140.jpg,113
239,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095722.jpg,50
240,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103740.jpg,193
241,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603085343.jpg,119
242,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081858.jpg,58
243,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094158.jpg,5
244,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325124704.jpg,656
245,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095332.jpg,38
246,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103807.jpg,193
247,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081509.jpg,53
248,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094548.jpg,16
249,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603082002.jpg,59
250,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103554.jpg,187
251,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240603081641.jpg,55
252,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094833.jpg,24
253,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325103756.jpg,193
254,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095052.jpg,30
255,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325104010.jpg,195
256,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325094417.jpg,12
257,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325104004.jpg,195
258,FishDiseaseZHAW/EyeMalformations/EyeHealthy/ZHAW Biocam_00_20240325095047.jpg,30
