,id,fish id,grams
101,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103439.jpg,181,64285
102,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123931.jpg,627,909
103,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102041.jpg,124,676
104,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114623.jpg,439,72804
105,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120009.jpg,485,63514
106,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104815.jpg,226,67666
107,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125603.jpg,690,343
108,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095842.jpg,54,505779
109,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130540.jpg,733,0
110,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114409.jpg,429,53689
111,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095103.jpg,31,22546
112,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094209.jpg,,122704
113,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101038.jpg,95,130834
114,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104140.jpg,200,17322
115,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120948.jpg,527,404982
116,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100440.jpg,76,52236
117,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102243.jpg,132,48742
118,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112736.jpg,373,1409
119,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094553.jpg,16,26380
120,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131847.jpg,778,195540
121,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102255.jpg,132,48749
122,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112720.jpg,372,27680
123,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100330.jpg,72,55839
124,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104156.jpg,201,6165
125,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105248.jpg,244,0883
126,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100456.jpg,77,97402
127,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104618.jpg,220,04
128,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122813.jpg,600,
129,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111201.jpg,312,63345
130,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101947.jpg,121,12728
131,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095854.jpg,55,66566
132,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325130556.jpg,733,
133,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120745.jpg,516,897549
134,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124523.jpg,648,040
135,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115926.jpg,482,83463
136,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132341.jpg,803,24438
137,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104426.jpg,211,13339
138,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111759.jpg,338,3525
139,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325121842.jpg,,20985
140,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115259.jpg,459,45916
141,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105704.jpg,261,82389
142,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105710.jpg,261,823679
143,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103407.jpg,179,65368
144,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113614.jpg,402,58826
145,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132631.jpg,817,20453
146,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120553.jpg,508,4380
147,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105923.jpg,271,4943
148,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132143.jpg,792,7
149,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123728.jpg,619,95415
150,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102902.jpg,156,557579
151,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104234.jpg,204,12643
152,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123853.jpg,625,3940
153,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102123.jpg,127,73890
154,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103215.jpg,170,6772
155,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111836.jpg,340,59192
156,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120433.jpg,502,1260
157,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131258.jpg,766,1869
158,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131502.jpg,771,24208
159,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100907.jpg,91,77534
160,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102321.jpg,133,76360
161,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104036.jpg,197,29262
162,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110043.jpg,276,47589
163,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110719.jpg,294,6035
164,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115107.jpg,451,541279
165,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103017.jpg,162,73944
166,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132221.jpg,796,152839
167,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120625.jpg,510,7498
168,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101833.jpg,118,87759
169,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131728.jpg,775,50
170,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124331.jpg,640,634
171,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101827.jpg,118,87725
172,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123338.jpg,308,55169
173,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325133103.jpg,833,303
174,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110916.jpg,301,1240679
175,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131701.jpg,774,17
176,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125006.jpg,668,928
177,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095909.jpg,56,59928
178,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122741.jpg,600,14604
179,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124456.jpg,646,318
180,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120630.jpg,510,74903
181,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102452.jpg,139,4458
182,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111348.jpg,320,30032
183,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100523.jpg,78,70879
184,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112127.jpg,343,51279
185,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114556.jpg,437,94750
186,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125953.jpg,705,1996
187,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112133.jpg,,512779
188,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094356.jpg,11,65753
189,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110724.jpg,294,60355
190,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102446.jpg,139,44159
191,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124654.jpg,655,213
192,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132750.jpg,818,23338
193,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122543.jpg,592,62082
194,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325121738.jpg,556,1664
195,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112319.jpg,351,588
196,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105117.jpg,239,425779
197,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115304.jpg,459,45888
198,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100709.jpg,84,12243
199,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112325.jpg,352,63430
200,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105659.jpg,261,82398
201,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102644.jpg,145,23026
202,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110526.jpg,287,3585
203,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123701.jpg,,813
204,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125416.jpg,683,3
205,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325093940.jpg,,04944
206,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124720.jpg,657,9
207,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122351.jpg,584,41326
208,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124046.jpg,632,
209,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095316.jpg,37,044944
210,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325132817.jpg,820,20852
211,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103412.jpg,179,65365
212,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124913.jpg,665,0040
213,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100133.jpg,66,12755
214,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095458.jpg,43,70779
215,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112912.jpg,377,132809
216,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325121300.jpg,535,7202
217,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125614.jpg,691,
218,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112906.jpg,3775,133849
219,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103823.jpg,193,
220,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120750.jpg,517,98724
221,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122621.jpg,595,33702
222,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112709.jpg,371,24736
223,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113417.jpg,395,044044
224,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095114.jpg,32,57859
225,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105507.jpg,253,7472
226,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103610.jpg,188,122679
227,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125827.jpg,699,04163
228,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125833.jpg,700,51
229,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110136.jpg,279,66236
230,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111228.jpg,314,83228
231,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122802.jpg,600,103465
232,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105517.jpg,254,13902
233,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100309.jpg,71,59627
234,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105259.jpg,245,254579
235,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131842.jpg,777,12530
236,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110126.jpg,279,66240
237,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124254.jpg,638,28
238,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115937.jpg,,
239,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325122143.jpg,575,16
240,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325101942.jpg,120,756
241,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120740.jpg,516,9768
242,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115512.jpg,468,06
243,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111748.jpg,337,6733
244,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100123.jpg,65,6660
245,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115248.jpg,458,10
246,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123936.jpg,,114
247,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325121847.jpg,561,078
248,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325104437.jpg,212,58294
249,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102046.jpg,125,26434
250,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102913.jpg,157,16909
251,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125406.jpg,682,
252,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325093950.jpg,,606
253,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124056.jpg,632,855
254,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123739.jpg,620,034
255,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113822.jpg,411,62638
256,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120542.jpg,507,5168
257,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325103204.jpg,169,45003
258,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325095514.jpg,44,1439
259,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325112335.jpg,353,70462
260,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100731.jpg,85,74543
261,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325094636.jpg,19,5429
262,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325114036.jpg,419,4068
263,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325102654.jpg,146,27872
264,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100725.jpg,85,74545
265,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325111628.jpg,,479
266,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131513.jpg,7719,94202
267,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325121700.jpg,554,15939
268,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125214.jpg,677,684
269,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113942.jpg,416,49700
270,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325105846.jpg,269,78
271,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115102.jpg,451,54165
272,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325120807.jpg,518,48544
273,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325110708.jpg,293,76560
274,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325100533.jpg,79,6754
275,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325125943.jpg,704,4829
276,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325113229.jpg,390,36490
277,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325123301.jpg,607,869
278,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325124446.jpg,645,9
279,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325115843.jpg,478,803
280,FishDiseaseZHAW/OverUnderWeight/ZHAW Biocam_00_20240325131739.jpg,775,12906
